# r   MSF(r)
0.00000000 0.00068277
0.02504174 0.00194041
0.05008347 0.00095068

0.10016694 0.00209080
0.12520868 0.00436188
0.15025042 0.00655014
0.17529215 0.01059461
0.20033389 0.01480288
0.22537563 0.01759690
0.25041736 0.01840217
0.27545910 0.01818188
0.30050083 0.01965810
0.32554257 0.02116791
0.35058431 0.02171123
0.37562604 0.02434910
0.40066778 0.02569637
0.42570952 0.02616638
0.45075125 0.02693947
0.47579299 0.02774403
0.50083472 0.02782450
0.52587646 0.02486711
0.55091820 0.02680280
0.57595993 0.02755472
0.60100167 0.02754722
0.62604341 0.02422729
0.65108514 0.02736449
0.67612688 0.02778347
0.70116861 0.02721606
0.72621035 0.02493707
0.75125209 0.02721241
0.77629382 0.02734150
0.80133556 0.02656073
0.82637730 0.02600707
0.85141903 0.02387342
0.87646077 0.02554866
0.90150250 0.02497926
0.92654424 0.02652611
0.95158598 0.02530155
0.97662771 0.02378116
1.00166945 0.02749207
1.02671119 0.02714178
1.05175292 0.03029773
1.07679466 0.03192120
1.10183639 0.03309118
1.12687813 0.03248203
1.15191987 0.03319477
1.17696160 0.03439548
1.20200334 0.03514443
1.22704508 0.03643742
1.25208681 0.03657366
1.27712855 0.03675475
1.30217028 0.03739855
1.32721202 0.03946974
1.35225376 0.03978474
1.37729549 0.04110361
1.40233723 0.04167140
1.42737896 0.04291192
1.45242070 0.04315236
1.47746244 0.04396047
1.50250417 0.04267879
1.52754591 0.04485239
1.55258765 0.04484941
1.57762938 0.04471962
1.60267112 0.04519868
1.62771285 0.04561851
1.65275459 0.04625933
1.67779633 0.04598000
1.70283806 0.04617455
1.72787980 0.04639494
1.75292154 0.04649147
1.77796327 0.04626265
1.80300501 0.04546026
1.82804674 0.04589514
1.85308848 0.04472314
1.87813022 0.04477386
1.90317195 0.04699380
1.92821369 0.04723963
1.95325543 0.04743916
1.97829716 0.04784385
2.00333890 0.04203359
2.02838063 0.04627565
2.05342237 0.04807585
2.07846411 0.04842447
2.10350584 0.04837138
2.12854758 0.04983671
2.15358932 0.05049405
2.17863105 0.05043352
2.20367279 0.05013213
2.22871452 0.05093063
2.25375626 0.05132456
2.27879800 0.05142487
2.30383973 0.05155180
2.32888147 0.04962501
2.35392321 0.05191189
2.37896494 0.05229306
2.40400668 0.05250026
2.42904841 0.05233723
2.45409015 0.05186358
2.47913189 0.05244569
2.50417362 0.05247420
2.52921536 0.05259869
2.55425710 0.05269175
2.57929883 0.05260004
2.60434057 0.05295470
2.62938230 0.05178836
2.65442404 0.05329155
2.67946578 0.05294230
2.70450751 0.05235162
2.72954925 0.05297378
2.75459098 0.05211953
2.77963272 0.05296684
2.80467446 0.05249772
2.82971619 0.05159966
2.85475793 0.05125823
2.87979967 0.05202195
2.90484140 0.05209684
2.92988314 0.05173198
2.95492487 0.05082154
2.97996661 0.04881512
3.00500835 0.04752840
3.03005008 0.05066134
3.05509182 0.05023155
3.08013356 0.05152073
3.10517529 0.05057319
3.13021703 0.05106932
3.15525876 0.05139758
3.18030050 0.05025138
3.20534224 0.04917703
3.23038397 0.04957196
3.25542571 0.04949609
3.28046745 0.05233980
3.30550918 0.05261178
3.33055092 0.05241112
3.35559265 0.05303923
3.38063439 0.05312630
3.40567613 0.05183626
3.43071786 0.05351540
3.45575960 0.05313708
3.48080134 0.05339171
3.50584307 0.05245459
3.53088481 0.05370308
3.55592654 0.05384748
3.58096828 0.05351590
3.60601002 0.05337603
3.63105175 0.05322789
3.65609349 0.05307274
3.68113523 0.05268238
3.70617696 0.05114696
3.73121870 0.05108909
3.75626043 0.05159307
3.78130217 0.05187206
3.80634391 0.05182013
3.83138564 0.05402863
3.85642738 0.05400051
3.88146912 0.05352908
3.90651085 0.05449973
3.93155259 0.05417857
3.95659432 0.05327455
3.98163606 0.05463150
4.00667780 0.05287930
4.03171953 0.05397927
4.05676127 0.05377694
