# r   MSF(r)
0.00000000 0.00089116
0.01603206 -0.00251000
0.03206413 -0.00821656
0.04809619 -0.01525683
0.06412826 -0.02259496
0.08016032 -0.02561337
0.09619238 -0.03221210
0.11222445 -0.02927771
0.12825651 -0.03318626
0.14428858 -0.04564740
0.16032064 -0.03758626
0.17635271 -0.03081991
0.19238477 -0.02614245
0.20841683 -0.02370306
0.22444890 -0.02228337
0.24048096 -0.01992973
0.25651303 -0.01840999
0.27254509 -0.01766510
0.28857715 -0.01710704
0.30460922 -0.01601419
0.32064128 -0.01500947
0.33667335 -0.01451144
0.35270541 -0.01365977
0.36873747 -0.01339917
0.38476954 -0.01257686
0.40080160 -0.01284552
0.41683367 -0.01166194
0.43286573 -0.01119408
0.44889780 -0.01099500
0.46492986 -0.01084363
0.48096192 -0.01032891
0.49699399 -0.01027890
0.51302605 -0.00990131
0.52905812 -0.00924955
0.54509018 -0.00940107
0.56112224 -0.00920526
0.57715431 -0.00858907
0.59318637 -0.00882799
0.60921844 -0.00817675
0.62525050 -0.00897674
0.64128257 -0.00800988
0.65731463 -0.00764459
0.67334669 -0.00793709
0.68937876 -0.00739957
0.70541082 -0.00742008
0.72144289 -0.00741834
0.73747495 -0.00700888
0.75350701 -0.00692221
0.76953908 -0.00682080
0.78557114 -0.00648199
0.80160321 -0.00643021
0.81763527 -0.00707745
0.83366733 -0.00630653
0.84969940 -0.00623868
0.86573146 -0.00647571
0.88176353 -0.00617427
0.89779559 -0.00581406
0.91382766 -0.00609170
0.92985972 -0.00608235
0.94589178 -0.00557750
0.96192385 -0.00533356
0.97795591 -0.00568822
0.99398798 -0.00528570
1.01002004 -0.00540295
1.02605210 -0.00552025
1.04208417 -0.00504902
1.05811623 -0.00495821
1.07414830 -0.00478498
1.09018036 -0.00513642
1.10621242 -0.00512866
1.12224449 -0.00482356
1.13827655 -0.00518632
1.15430862 -0.00516527
1.17034068 -0.00490614
1.18637275 -0.00449354
1.20240481 -0.00470670
1.21843687 -0.00446685
1.23446894 -0.00424488
1.25050100 -0.00461783
1.26653307 -0.00573623
1.28256513 -0.00414775
1.29859719 -0.00438217
1.31462926 -0.00468897
1.33066132 -0.00396886
1.34669339 -0.00407716
1.36272545 -0.00688930
1.37875752 -0.00421474
1.39478958 -0.00530027
1.41082164 -0.00402150
1.42685371 -0.00479620
1.44288577 -0.00368476
1.45891784 -0.00389605
1.47494990 -0.00417157
1.49098196 -0.00420766
1.50701403 -0.00358745
1.52304609 -0.00360395
1.53907816 -0.00453982
1.55511022 -0.00349906
1.57114228 -0.00373574
1.58717435 -0.00494049
1.60320641 -0.00374509
1.61923848 -0.00462398
1.63527054 -0.00328138
1.65130261 -0.00321746
1.66733467 -0.00324792
1.68336673 -0.00346422
1.69939880 -0.00369391
1.71543086 -0.00332499
1.73146293 -0.00409034
1.74749499 -0.00355484
1.76352705 -0.00342950
1.77955912 -0.00379443
1.79559118 -0.00312919
1.81162325 -0.00351302
1.82765531 -0.00307531
1.84368737 -0.00328545
1.85971944 -0.00346920
1.87575150 -0.00408358
1.89178357 -0.00306883
1.90781563 -0.00383079
1.92384770 -0.00298073
1.93987976 -0.00337489
1.95591182 -0.00390217
1.97194389 -0.00346825
1.98797595 -0.00322238
2.00400802 -0.00290847
2.02004008 -0.00280023
2.03607214 -0.00298211
2.05210421 -0.00309779
2.06813627 -0.00313419
2.08416834 -0.00496785
2.10020040 -0.00279287
2.11623246 -0.00280372
2.13226453 -0.00280010
2.14829659 -0.00280079
2.16432866 -0.00276780
2.18036072 -0.00276318
2.19639279 -0.00265255
2.21242485 -0.00256090
2.22845691 -0.00311866
2.24448898 -0.00263455
2.26052104 -0.00272625
2.27655311 -0.00269164
2.29258517 -0.00252691
2.30861723 -0.00284683
2.32464930 -0.00271871
2.34068136 -0.00368210
2.35671343 -0.00287923
2.37274549 -0.00268826
2.38877756 -0.00258318
2.40480962 -0.00240089
2.42084168 -0.00277123
2.43687375 -0.00230889
2.45290581 -0.00231271
2.46893788 -0.00248406
2.48496994 -0.00292580
2.50100200 -0.00265977
2.51703407 -0.00361841
2.53306613 -0.00263259
2.54909820 -0.00226317
2.56513026 -0.00278122
2.58116232 -0.00235189
2.59719439 -0.00281271
2.61322645 -0.00253034
2.62925852 -0.00216387
2.64529058 -0.00352811
2.66132265 -0.00362933
2.67735471 -0.00251219
2.69338677 -0.00231703
2.70941884 -0.00239311
2.72545090 -0.00257598
2.74148297 -0.00224508
2.75751503 -0.00413059
2.77354709 -0.00219054
2.78957916 -0.00213820
2.80561122 -0.00259462
2.82164329 -0.00369711
2.83767535 -0.00220098
2.85370741 -0.00235410
2.86973948 -0.00242865
2.88577154 -0.00237894
2.90180361 -0.00271850
2.91783567 -0.00221444
2.93386774 -0.00206122
2.94989980 -0.00246043
2.96593186 -0.00206162
2.98196393 -0.00333878
2.99799599 -0.00255935
3.01402806 -0.00383316
3.03006012 -0.00216677
3.04609218 -0.00247054
3.06212425 -0.00246118
3.07815631 -0.00242238
3.09418838 -0.00232548
3.11022044 -0.00254333
3.12625251 -0.00350380
3.14228457 -0.00278108
3.15831663 -0.00237689
3.17434870 -0.00201329
3.19038076 -0.00257586
3.20641283 -0.00207432
3.22244489 -0.00218985
3.23847695 -0.00226014
3.25450902 -0.00174906
3.27054108 -0.00350463
3.28657315 -0.00407890
3.30260521 -0.00261988
3.31863727 -0.00231542
3.33466934 -0.00184958
3.35070140 -0.00209075
3.36673347 -0.00251417
3.38276553 -0.00182016
3.39879760 -0.00255013
3.41482966 -0.00197762
3.43086172 -0.00198673
3.44689379 -0.00197021
3.46292585 -0.00263111
3.47895792 -0.00191773
3.49498998 -0.00166562
3.51102204 -0.00179262
3.52705411 -0.00242973
3.54308617 -0.00171727
3.55911824 -0.00190754
3.57515030 -0.00217655
3.59118236 -0.00215506
3.60721443 -0.00189379
3.62324649 -0.00214106
3.63927856 -0.00209959
3.65531062 -0.00181877
3.67134269 -0.00180322
3.68737475 -0.00211900
3.70340681 -0.00201256
3.71943888 -0.00181017
3.73547094 -0.00187524
3.75150301 -0.00199711
3.76753507 -0.00327894
3.78356713 -0.00178474
3.79959920 -0.00229011
3.81563126 -0.00198150
3.83166333 -0.00204127
3.84769539 -0.00186585
3.86372745 -0.00191746
3.87975952 -0.00201298
3.89579158 -0.00256550
3.91182365 -0.00150855
3.92785571 -0.00183526
3.94388778 -0.00160864
3.95991984 -0.00189816
3.97595190 -0.00214991
3.99198397 -0.00188377
4.00801603 -0.00216535
4.02404810 -0.00198011
4.04008016 -0.00155849
4.05611222 -0.00145095
4.07214429 -0.00194543
4.08817635 -0.00145014
4.10420842 -0.00212838
4.12024048 -0.00157858
4.13627255 -0.00153904
4.15230461 -0.00173440
4.16833667 -0.00328328
4.18436874 -0.00165292
4.20040080 -0.00195243
4.21643287 -0.00265768
4.23246493 -0.00162407
4.24849699 -0.00278646
4.26452906 -0.00144847
4.28056112 -0.00253687
4.29659319 -0.00185274
4.31262525 -0.00248766
4.32865731 -0.00140108
4.34468938 -0.00147471
4.36072144 -0.00188851
4.37675351 -0.00199985
4.39278557 -0.00139591
4.40881764 -0.00193727
4.42484970 -0.00158075
4.44088176 -0.00207184
4.45691383 -0.00285755
4.47294589 -0.00299845
4.48897796 -0.00224672
4.50501002 -0.00208132
4.52104208 -0.00138952
4.53707415 -0.00196447
4.55310621 -0.00160202
4.56913828 -0.00243547
4.58517034 -0.00251241
4.60120240 -0.00152559
4.61723447 -0.00162238
4.63326653 -0.00174337
4.64929860 -0.00134358
4.66533066 -0.00161270
4.68136273 -0.00156104
4.69739479 -0.00170832
4.71342685 -0.00181682
4.72945892 -0.00164971
4.74549098 -0.00166209
4.76152305 -0.00164750
4.77755511 -0.00229471
4.79358717 -0.00151403
4.80961924 -0.00158713
4.82565130 -0.00163572
4.84168337 -0.00175663
4.85771543 -0.00147828
4.87374749 -0.00293442
4.88977956 -0.00125309
4.90581162 -0.00187135
4.92184369 -0.00153702
4.93787575 -0.00279347
4.95390782 -0.00162576
4.96993988 -0.00135880
4.98597194 -0.00272680
5.00200401 -0.00152975
5.01803607 -0.00139487
5.03406814 -0.00156410
5.05010020 -0.00242452
5.06613226 -0.00165563
5.08216433 -0.00240373
5.09819639 -0.00207726
5.11422846 -0.00189342
5.13026052 -0.00142405
5.14629259 -0.00179672
5.16232465 -0.00291941
5.17835671 -0.00153494
5.19438878 -0.00119328
5.21042084 -0.00138371
5.22645291 -0.00277872
5.24248497 -0.00162942
5.25851703 -0.00150377
5.27454910 -0.00158175
5.29058116 -0.00260616
5.30661323 -0.00227293
5.32264529 -0.00193009
5.33867735 -0.00212488
5.35470942 -0.00142194
5.37074148 -0.00254410
5.38677355 -0.00154183
5.40280561 -0.00186300
5.41883768 -0.00135416
5.43486974 -0.00196122
5.45090180 -0.00174759
5.46693387 -0.00149308
5.48296593 -0.00336351
5.49899800 -0.00212792
5.51503006 -0.00196861
5.53106212 -0.00179360
5.54709419 -0.00182453
5.56312625 -0.00147164
5.57915832 -0.00138380
5.59519038 -0.00116924
5.61122244 -0.00128572
5.62725451 -0.00140890
5.64328657 -0.00146055
5.65931864 -0.00111370
5.67535070 -0.00136424
5.69138277 -0.00239241
5.70741483 -0.00157664
5.72344689 -0.00180138
5.73947896 -0.00129965
5.75551102 -0.00157712
5.77154309 -0.00209560
5.78757515 -0.00253471
5.80360721 -0.00169750
5.81963928 -0.00120482
5.83567134 -0.00297437
5.85170341 -0.00140839
5.86773547 -0.00178274
5.88376754 -0.00286393
5.89979960 -0.00140159
5.91583166 -0.00112934
5.93186373 -0.00239701
5.94789579 -0.00146939
5.96392786 -0.00241097
5.97995992 -0.00175098
5.99599198 -0.00223820
6.01202405 -0.00270668
6.02805611 -0.00231823
6.04408818 -0.00113003
6.06012024 -0.00124950
6.07615230 -0.00259230
6.09218437 -0.00108225
6.10821643 -0.00224974
6.12424850 -0.00171344
6.14028056 -0.00126939
6.15631263 -0.00290313
6.17234469 -0.00125168
6.18837675 -0.00127269
6.20440882 -0.00104122
6.22044088 -0.00205969
6.23647295 -0.00115022
6.25250501 -0.00145099
6.26853707 -0.00106136
6.28456914 -0.00144548
6.30060120 -0.00103744
6.31663327 -0.00261145
6.33266533 -0.00154218
6.34869739 -0.00168080
6.36472946 -0.00116443
6.38076152 -0.00160466
6.39679359 -0.00125089
6.41282565 -0.00108668
6.42885772 -0.00121751
