# r   MSF(r)
0.00000000 0.00115617
0.01002004 -0.00984515
0.02004008 -0.01858922
0.03006012 -0.02939512
0.04008016 -0.03863232
0.05010020 -0.04906443
0.06012024 -0.05883163
0.07014028 -0.06881298
0.08016032 -0.07905075
0.09018036 -0.08882763
0.10020040 -0.09930774
0.11022044 -0.10951536
0.12024048 -0.11880211
0.13026052 -0.12865054
0.14028056 -0.13901266
0.15030060 -0.15027162
0.16032064 -0.16007396
0.17034068 -0.16871983
0.18036072 -0.17977745
0.19038076 -0.18949341
0.20040080 -0.19938209
0.21042084 -0.20893121
0.22044088 -0.21890479
0.23046092 -0.22950996
0.24048096 -0.23942179
0.25050100 -0.24996596
0.26052104 -0.25921099
0.27054108 -0.26999981
0.28056112 -0.27920662
0.29058116 -0.29039905
0.30060120 -0.30112934
0.31062124 -0.31072437
0.32064128 -0.31964932
0.33066132 -0.33016361
0.34068136 -0.34051221
0.35070140 -0.35085708
0.36072144 -0.35927722
0.37074148 -0.37020761
0.38076152 -0.37943260
0.39078156 -0.38935742
0.40080160 -0.40000535
0.41082164 -0.41038408
0.42084168 -0.42042147
0.43086172 -0.42943268
0.44088176 -0.44031471
0.45090180 -0.44986721
0.46092184 -0.45974428
0.47094188 -0.47006090
0.48096192 -0.48026438
0.49098196 -0.48953841
0.50100200 -0.49989753
0.51102204 -0.50978631
0.52104208 -0.52061237
0.53106212 -0.53001040
0.54108216 -0.54075280
0.55110220 -0.54978778
0.56112224 -0.55959649
0.57114228 -0.56982530
0.58116232 -0.58045459
0.59118236 -0.59047977
0.60120240 -0.60015562
0.61122244 -0.61143429
0.62124248 -0.62132126
0.63126253 -0.62999090
0.64128257 -0.64043790
0.65130261 -0.65011842
0.66132265 -0.66023679
0.67134269 -0.66978385
0.68136273 -0.68017836
0.69138277 -0.69063344
0.70140281 -0.70140261
0.71142285 -0.71127956
0.72144289 -0.72050531
0.73146293 -0.73052070
0.74148297 -0.73990270
0.75150301 -0.75105022
0.76152305 -0.76099408
0.77154309 -0.77152470
0.78156313 -0.78119576
0.79158317 -0.79078017
0.80160321 -0.80089447
0.81162325 -0.81161472
0.82164329 -0.82050006
0.83166333 -0.83089432
0.84168337 -0.84041313
0.85170341 -0.85079767
0.86172345 -0.86086062
0.87174349 -0.87156100
0.88176353 -0.88105631
0.89178357 -0.89154043
0.90180361 -0.90089420
0.91182365 -0.91103399
0.92184369 -0.92069701
0.93186373 -0.93028503
0.94188377 -0.94111311
0.95190381 -0.95072737
0.96192385 -0.96117429
0.97194389 -0.97223451
0.98196393 -0.98080531
0.99198397 -0.99125200
1.00200401 -1.00073231
1.01202405 -1.01297117
1.02204409 -1.02107203
1.03206413 -1.03086569
1.04208417 -1.04091398
1.05210421 -1.05048082
1.06212425 -1.06104077
1.07214429 -1.07286861
1.08216433 -1.08109332
1.09218437 -1.09055703
1.10220441 -1.10066959
1.11222445 -1.11071147
1.12224449 -1.12227326
1.13226453 -1.13152730
1.14228457 -1.14084748
1.15230461 -1.15219832
1.16232465 -1.16110315
1.17234469 -1.17138774
1.18236473 -1.18166647
1.19238477 -1.19116815
1.20240481 -1.20122644
1.21242485 -1.21154180
1.22244489 -1.22091285
1.23246493 -1.23127396
1.24248497 -1.24088321
1.25250501 -1.25126386
1.26252505 -1.26166949
1.27254509 -1.27162639
1.28256513 -1.28261769
1.29258517 -1.29134025
1.30260521 -1.30166342
1.31262525 -1.31135345
1.32264529 -1.32111245
1.33266533 -1.33303792
1.34268537 -1.34263586
1.35270541 -1.35346284
1.36272545 -1.36169050
1.37274549 -1.37272440
1.38276553 -1.38194848
1.39278557 -1.39169110
1.40280561 -1.40179075
1.41282565 -1.41287040
1.42284569 -1.42248630
1.43286573 -1.43180425
1.44288577 -1.44156633
1.45290581 -1.45350494
1.46292585 -1.46169909
1.47294589 -1.47325574
1.48296593 -1.48300648
1.49298597 -1.49151460
1.50300601 -1.50192873
1.51302605 -1.51282737
1.52304609 -1.52177229
1.53306613 -1.53161077
1.54308617 -1.54324523
1.55310621 -1.55287260
1.56312625 -1.56267725
1.57314629 -1.57197358
1.58316633 -1.58344110
1.59318637 -1.59298224
1.60320641 -1.60173727
1.61322645 -1.61304076
1.62324649 -1.62179596
1.63326653 -1.63338505
1.64328657 -1.64211426
1.65330661 -1.65356810
1.66332665 -1.66244908
1.67334669 -1.67265237
1.68336673 -1.68199324
1.69338677 -1.69305962
1.70340681 -1.70207163
1.71342685 -1.71243186
