# r   MSF(r)
0.00000000 0.00140975
0.01002004 -0.00536475
0.02004008 -0.00795546
0.03006012 -0.01532193
0.04008016 -0.02166918
0.05010020 -0.02807661
0.06012024 -0.03411989
0.07014028 -0.03272771
0.08016032 -0.03235743
0.09018036 -0.04203074
0.10020040 -0.03662640
0.11022044 -0.02660152
0.12024048 -0.02201815
0.13026052 -0.01347255
0.14028056 -0.01153388
0.15030060 -0.00718244
0.16032064 -0.00396916
0.17034068 -0.00063804
0.18036072 0.00157364
0.19038076 0.00099126
0.20040080 0.00279358
0.21042084 0.00664197
0.22044088 0.00761658
0.23046092 0.00961388
0.24048096 0.01047809
0.25050100 0.01024682
0.26052104 0.00983043
0.27054108 0.01029869
0.28056112 0.01295006
0.29058116 0.01290123
0.30060120 0.01258700
0.31062124 0.01414706
0.32064128 0.01451244
0.33066132 0.01464318
0.34068136 0.01579402
0.35070140 0.01749595
0.36072144 0.01814893
0.37074148 0.01816656
0.38076152 0.01715588
0.39078156 0.01881350
0.40080160 0.01720089
0.41082164 0.02058370
0.42084168 0.02089192
0.43086172 0.02151137
0.44088176 0.02213263
0.45090180 0.02215269
0.46092184 0.02051825
0.47094188 0.02069271
0.48096192 0.02271426
0.49098196 0.02311738
0.50100200 0.02244594
0.51102204 0.02101130
0.52104208 0.02240508
0.53106212 0.02285136
0.54108216 0.02309509
0.55110220 0.02223531
0.56112224 0.02139751
0.57114228 0.02356984
0.58116232 0.02354313
0.59118236 0.02315740
0.60120240 0.02215495
0.61122244 0.02325319
0.62124248 0.02389032
0.63126253 0.01848192
0.64128257 0.02213865
0.65130261 0.02218534
0.66132265 0.02184304
0.67134269 0.02155504
0.68136273 0.01778546
0.69138277 0.02091185
0.70140281 0.02240260
0.71142285 0.02351556
0.72144289 0.02416530
0.73146293 0.02250672
0.74148297 0.02372979
0.75150301 0.02511874
0.76152305 0.02571227
0.77154309 0.02453452
0.78156313 0.02286718
0.79158317 0.02503397
0.80160321 0.02469628
0.81162325 0.02404924
0.82164329 0.02426602
0.83166333 0.02178070
0.84168337 0.02558998
0.85170341 0.02330114
0.86172345 0.02626981
0.87174349 0.02532310
0.88176353 0.02537953
0.89178357 0.02631577
0.90180361 0.02655994
0.91182365 0.02711643
0.92184369 0.02864184
0.93186373 0.03294398
0.94188377 0.03560665
0.95190381 0.03701761
0.96192385 0.03878505
0.97194389 0.03975801
0.98196393 0.03898291
0.99198397 0.04146163
1.00200401 0.04205964
1.01202405 0.04140448
1.02204409 0.04170787
1.03206413 0.04468185
1.04208417 0.04608839
1.05210421 0.04695556
1.06212425 0.04821292
1.07214429 0.04963049
1.08216433 0.04832909
1.09218437 0.05161815
1.10220441 0.05166289
1.11222445 0.05317092
1.12224449 0.05372321
1.13226453 0.05420428
1.14228457 0.05220969
1.15230461 0.05565244
1.16232465 0.05660311
1.17234469 0.05714922
1.18236473 0.05790819
1.19238477 0.05831272
1.20240481 0.05888032
1.21242485 0.05957291
1.22244489 0.05931214
1.23246493 0.06068284
1.24248497 0.06121625
1.25250501 0.06131298
1.26252505 0.06216770
1.27254509 0.06157798
1.28256513 0.06305021
1.29258517 0.06335477
1.30260521 0.06336660
1.31262525 0.06473963
1.32264529 0.06480401
1.33266533 0.06308055
1.34268537 0.06505722
1.35270541 0.06435591
1.36272545 0.06474173
1.37274549 0.06648463
1.38276553 0.06759329
1.39278557 0.06766334
1.40280561 0.06662176
1.41282565 0.06819935
1.42284569 0.06805338
1.43286573 0.06779449
1.44288577 0.06896932
1.45290581 0.06904260
1.46292585 0.07018418
1.47294589 0.07035720
1.48296593 0.07090449
1.49298597 0.07110759
1.50300601 0.07078041
1.51302605 0.07182170
1.52304609 0.07230343
1.53306613 0.07166128
1.54308617 0.07249131
1.55310621 0.07264001
1.56312625 0.07259336
1.57314629 0.07328188
1.58316633 0.07352285
1.59318637 0.07460947
1.60320641 0.07464532
1.61322645 0.07496865
1.62324649 0.07512536
1.63326653 0.07495240
1.64328657 0.07318325
1.65330661 0.07596777
1.66332665 0.07607043
1.67334669 0.07646927
1.68336673 0.07577614
1.69338677 0.07699054
1.70340681 0.07491072
1.71342685 0.07712699
1.72344689 0.07683825
1.73346693 0.07785294
1.74348697 0.07714711
1.75350701 0.07675895
1.76352705 0.07868840
1.77354709 0.07904488
1.78356713 0.07676139
1.79358717 0.07912793
1.80360721 0.07795308
1.81362725 0.07836343
1.82364729 0.08005672
1.83366733 0.07936834
1.84368737 0.07951148
1.85370741 0.08003662
1.86372745 0.08034246
1.87374749 0.08125354
