# r   MSF(r)
0.00000000 0.00130981
0.01002004 -0.00096672
0.02004008 -0.00240025
0.03006012 -0.00459462
0.04008016 -0.00821880
0.05010020 -0.01354412
0.06012024 -0.01753218
0.07014028 -0.02143379
0.08016032 -0.03073942
0.09018036 -0.03057142
0.10020040 -0.03043980
0.11022044 -0.03106288
0.12024048 -0.03355908
0.13026052 -0.03893444
0.14028056 -0.03744526
0.15030060 -0.03598632
0.16032064 -0.02797785
0.17034068 -0.02510775
0.18036072 -0.02212822
0.19038076 -0.02140221
0.20040080 -0.02058317
0.21042084 -0.01906716
0.22044088 -0.01754709
0.23046092 -0.01661120
0.24048096 -0.01506535
0.25050100 -0.01444578
0.26052104 -0.01364098
0.27054108 -0.01328403
0.28056112 -0.01371057
0.29058116 -0.01263736
0.30060120 -0.01203566
0.31062124 -0.01150829
0.32064128 -0.01157609
0.33066132 -0.01066453
0.34068136 -0.01047123
0.35070140 -0.01022941
0.36072144 -0.00990979
0.37074148 -0.00980020
0.38076152 -0.00977518
0.39078156 -0.00937685
0.40080160 -0.00959149
0.41082164 -0.00871550
0.42084168 -0.00851065
0.43086172 -0.00847929
0.44088176 -0.00855117
0.45090180 -0.00813193
0.46092184 -0.00807747
0.47094188 -0.00787045
0.48096192 -0.00767693
0.49098196 -0.00760515
0.50100200 -0.00760218
0.51102204 -0.00721949
0.52104208 -0.00719874
0.53106212 -0.00696838
0.54108216 -0.00851735
0.55110220 -0.00675892
0.56112224 -0.00662700
0.57114228 -0.00678840
0.58116232 -0.00708533
0.59118236 -0.00706069
0.60120240 -0.00662117
0.61122244 -0.00617711
0.62124248 -0.00640380
0.63126253 -0.00625865
0.64128257 -0.00596633
0.65130261 -0.00607327
0.66132265 -0.00583041
0.67134269 -0.00697600
0.68136273 -0.00587312
0.69138277 -0.00591547
0.70140281 -0.00560710
0.71142285 -0.00584688
0.72144289 -0.00565870
0.73146293 -0.00555367
0.74148297 -0.00546137
0.75150301 -0.00524360
0.76152305 -0.00552485
0.77154309 -0.00533319
0.78156313 -0.00502569
0.79158317 -0.00562555
0.80160321 -0.00523167
0.81162325 -0.00490898
0.82164329 -0.00511652
0.83166333 -0.00492144
0.84168337 -0.00520195
0.85170341 -0.00517139
0.86172345 -0.00513109
0.87174349 -0.00518896
0.88176353 -0.00456326
0.89178357 -0.00465595
0.90180361 -0.00453782
0.91182365 -0.00454492
0.92184369 -0.00439234
0.93186373 -0.00575978
0.94188377 -0.00476691
0.95190381 -0.00443973
0.96192385 -0.00482150
0.97194389 -0.00456051
0.98196393 -0.00434589
0.99198397 -0.00433392
1.00200401 -0.00421560
1.01202405 -0.00422031
1.02204409 -0.00417654
1.03206413 -0.00425713
1.04208417 -0.00431173
1.05210421 -0.00399855
1.06212425 -0.00437365
1.07214429 -0.00391297
1.08216433 -0.00402194
1.09218437 -0.00442117
1.10220441 -0.00415521
1.11222445 -0.00442751
1.12224449 -0.00460230
1.13226453 -0.00490854
1.14228457 -0.00394145
1.15230461 -0.00387133
1.16232465 -0.00369294
1.17234469 -0.00364647
1.18236473 -0.00428083
1.19238477 -0.00453151
1.20240481 -0.00363924
1.21242485 -0.00402462
1.22244489 -0.00354108
1.23246493 -0.00366091
1.24248497 -0.00348242
1.25250501 -0.00388812
1.26252505 -0.00342465
1.27254509 -0.00404831
1.28256513 -0.00338223
1.29258517 -0.00373430
1.30260521 -0.00352308
1.31262525 -0.00356637
1.32264529 -0.00452374
1.33266533 -0.00337318
1.34268537 -0.00401137
1.35270541 -0.00351417
1.36272545 -0.00384392
1.37274549 -0.00324239
1.38276553 -0.00351323
1.39278557 -0.00501969
1.40280561 -0.00317668
1.41282565 -0.00395243
1.42284569 -0.00330130
1.43286573 -0.00391936
1.44288577 -0.00320973
1.45290581 -0.00337563
1.46292585 -0.00351251
1.47294589 -0.00303552
1.48296593 -0.00324662
