# r   MSF(r)
0.00000000 0.00148912
0.01603206 -0.01203666
0.03206413 -0.02359694
0.04809619 -0.03789042
0.06412826 -0.05220863
0.08016032 -0.06683039
0.09619238 -0.08032059
0.11222445 -0.09295492
0.12825651 -0.10615856
0.14428858 -0.12079903
0.16032064 -0.13445288
0.17635271 -0.14752609
0.19238477 -0.16102589
0.20841683 -0.17722100
0.22444890 -0.19243165
0.24048096 -0.20301983
0.25651303 -0.21710390
0.27254509 -0.23170522
0.28857715 -0.24730837
0.30460922 -0.25862636
0.32064128 -0.27260576
0.33667335 -0.28695942
0.35270541 -0.30050931
0.36873747 -0.31492035
0.38476954 -0.32635671
0.40080160 -0.33734566
0.41683367 -0.35013012
0.43286573 -0.36554413
0.44889780 -0.37883882
0.46492986 -0.39023944
0.48096192 -0.40385280
0.49699399 -0.41380635
0.51302605 -0.42560684
0.52905812 -0.43886121
0.54509018 -0.45377494
0.56112224 -0.46805039
0.57715431 -0.47862403
0.59318637 -0.49157213
0.60921844 -0.50293026
0.62525050 -0.51410947
0.64128257 -0.52690244
0.65731463 -0.53659776
0.67334669 -0.54750406
0.68937876 -0.55880409
0.70541082 -0.57079322
0.72144289 -0.58192477
0.73747495 -0.59477127
0.75350701 -0.60574825
0.76953908 -0.61636370
0.78557114 -0.62731089
0.80160321 -0.63620736
0.81763527 -0.64593250
0.83366733 -0.65544448
0.84969940 -0.66540514
0.86573146 -0.67622101
0.88176353 -0.68681703
0.89779559 -0.69510391
0.91382766 -0.70365859
0.92985972 -0.71313671
0.94589178 -0.72309865
0.96192385 -0.72970351
0.97795591 -0.73856840
0.99398798 -0.74464136
1.01002004 -0.75311006
1.02605210 -0.76226961
1.04208417 -0.77194214
1.05811623 -0.77753113
1.07414830 -0.78103718
1.09018036 -0.78670418
1.10621242 -0.79932894
1.12224449 -0.80013838
1.13827655 -0.80309694
1.15430862 -0.81112397
1.17034068 -0.81831582
1.18637275 -0.82197404
1.20240481 -0.81727064
1.21843687 -0.81201420
1.23446894 -0.81434530
1.25050100 -0.82259097
1.26653307 -0.82154085
1.28256513 -0.82803552
1.29859719 -0.85022225
1.31462926 -0.82892001
1.33066132 -0.81299987
1.34669339 -0.80971714
1.36272545 -0.78883798
1.37875752 -0.77784359
1.39478958 -0.76792626
1.41082164 -0.76185600
1.42685371 -0.75574669
1.44288577 -0.75184717
1.45891784 -0.74759298
1.47494990 -0.74145592
1.49098196 -0.74112361
1.50701403 -0.73435928
1.52304609 -0.73116455
1.53907816 -0.72688518
1.55511022 -0.72781020
1.57114228 -0.72123989
1.58717435 -0.72041689
1.60320641 -0.71656822
1.61923848 -0.71581882
1.63527054 -0.71420225
1.65130261 -0.71433508
1.66733467 -0.70838697
1.68336673 -0.70859627
1.69939880 -0.70536382
1.71543086 -0.70342886
1.73146293 -0.70152512
1.74749499 -0.69998646
1.76352705 -0.69913073
1.77955912 -0.69786822
1.79559118 -0.69569413
1.81162325 -0.69542561
1.82765531 -0.69411242
1.84368737 -0.69201405
1.85971944 -0.69287873
1.87575150 -0.68973093
1.89178357 -0.69133485
1.90781563 -0.68911010
1.92384770 -0.68719697
1.93987976 -0.68619971
1.95591182 -0.68462840
1.97194389 -0.68660227
1.98797595 -0.68220223
2.00400802 -0.68686652
2.02004008 -0.68222187
2.03607214 -0.68053261
2.05210421 -0.68019390
2.06813627 -0.67972082
2.08416834 -0.67849936
2.10020040 -0.67699743
2.11623246 -0.67702886
2.13226453 -0.67629577
2.14829659 -0.67936892
2.16432866 -0.67385037
2.18036072 -0.67439490
2.19639279 -0.67278958
2.21242485 -0.67421968
2.22845691 -0.67133266
2.24448898 -0.67244945
2.26052104 -0.67095442
2.27655311 -0.67102091
2.29258517 -0.67137032
2.30861723 -0.66918801
2.32464930 -0.66816584
2.34068136 -0.66857073
2.35671343 -0.66853993
2.37274549 -0.66854815
2.38877756 -0.66744303
2.40480962 -0.66534327
2.42084168 -0.66592048
2.43687375 -0.66458372
2.45290581 -0.66568892
2.46893788 -0.66591603
2.48496994 -0.66327195
2.50100200 -0.66280131
2.51703407 -0.66521145
2.53306613 -0.66250944
2.54909820 -0.66159672
2.56513026 -0.66197706
2.58116232 -0.66336070
2.59719439 -0.66023218
2.61322645 -0.66323405
2.62925852 -0.66047570
2.64529058 -0.66029881
2.66132265 -0.66054645
2.67735471 -0.65930845
2.69338677 -0.65841605
2.70941884 -0.65758351
2.72545090 -0.65837113
2.74148297 -0.65729854
2.75751503 -0.65766670
2.77354709 -0.65809427
2.78957916 -0.65894605
2.80561122 -0.65716006
2.82164329 -0.65687863
2.83767535 -0.65647750
2.85370741 -0.65578303
2.86973948 -0.65780552
2.88577154 -0.65496235
2.90180361 -0.65598716
2.91783567 -0.65422071
2.93386774 -0.65596011
2.94989980 -0.65563121
2.96593186 -0.65410145
2.98196393 -0.65464804
2.99799599 -0.65472429
3.01402806 -0.65352294
3.03006012 -0.65378909
3.04609218 -0.65242663
3.06212425 -0.65357349
3.07815631 -0.65233218
3.09418838 -0.65102185
3.11022044 -0.65217381
3.12625251 -0.65168922
3.14228457 -0.65027891
3.15831663 -0.65147002
3.17434870 -0.64984528
3.19038076 -0.65013960
3.20641283 -0.65054836
3.22244489 -0.64967447
3.23847695 -0.65088218
3.25450902 -0.64988099
3.27054108 -0.64884469
3.28657315 -0.64847768
3.30260521 -0.64907411
3.31863727 -0.64929127
3.33466934 -0.64867435
3.35070140 -0.64968434
3.36673347 -0.65017132
3.38276553 -0.64907818
3.39879760 -0.64789594
3.41482966 -0.64690014
3.43086172 -0.64676801
3.44689379 -0.64783725
3.46292585 -0.64633107
3.47895792 -0.64686867
3.49498998 -0.64613589
3.51102204 -0.64702085
3.52705411 -0.64611690
3.54308617 -0.64544692
3.55911824 -0.64551083
3.57515030 -0.64551834
3.59118236 -0.64579460
3.60721443 -0.64479971
3.62324649 -0.64572875
3.63927856 -0.64587546
3.65531062 -0.64417510
3.67134269 -0.64498788
3.68737475 -0.64449689
3.70340681 -0.64386464
3.71943888 -0.64588477
3.73547094 -0.64415319
3.75150301 -0.64736697
3.76753507 -0.64362443
3.78356713 -0.64413692
3.79959920 -0.64333010
3.81563126 -0.64345395
3.83166333 -0.64344355
3.84769539 -0.64246432
3.86372745 -0.64377311
3.87975952 -0.64272026
