# r   MSF(r)
0.00000000 0.00084763
0.01603206 -0.00768424
0.03206413 -0.01025090
0.04809619 -0.01852546
0.06412826 -0.01536104
0.08016032 -0.01525831
0.09619238 -0.01438324
0.11222445 -0.01234345
0.12825651 -0.01299194
0.14428858 -0.01498972
0.16032064 -0.01575864
0.17635271 -0.01372973
0.19238477 -0.01375897
0.20841683 -0.01243750
0.22444890 -0.01262692
0.24048096 -0.01132944
0.25651303 -0.01050826
0.27254509 -0.00964225
0.28857715 -0.00916349
0.30460922 -0.00928822
0.32064128 -0.00908802
0.33667335 -0.00887217
0.35270541 -0.00908059
0.36873747 -0.00997816
0.38476954 -0.00917823
0.40080160 -0.01019860
0.41683367 -0.01040388
0.43286573 -0.00992283
0.44889780 -0.01009363
0.46492986 -0.01007354
0.48096192 -0.01032909
0.49699399 -0.01144180
0.51302605 -0.01210009
0.52905812 -0.01300613
0.54509018 -0.01170132
0.56112224 -0.01095035
0.57715431 -0.01127874
0.59318637 -0.01119595
0.60921844 -0.01059997
0.62525050 -0.01050073
0.64128257 -0.01015581
0.65731463 -0.01058860
0.67334669 -0.01044304
0.68937876 -0.01036208
0.70541082 -0.01106755
0.72144289 -0.01046197
0.73747495 -0.01063013
0.75350701 -0.01034900
0.76953908 -0.01166908
0.78557114 -0.01030833
0.80160321 -0.01240370
0.81763527 -0.01127929
0.83366733 -0.01066783
0.84969940 -0.01045826
0.86573146 -0.01077575
0.88176353 -0.01076751
0.89779559 -0.01093341
0.91382766 -0.01074884
0.92985972 -0.01091107
0.94589178 -0.01059365
0.96192385 -0.01071110
0.97795591 -0.01237554
0.99398798 -0.01089673
1.01002004 -0.01304578
1.02605210 -0.01133366
1.04208417 -0.01390913
1.05811623 -0.01177236
1.07414830 -0.01082138
1.09018036 -0.01105698
1.10621242 -0.01181858
1.12224449 -0.01121078
1.13827655 -0.01130091
1.15430862 -0.01131407
1.17034068 -0.01378451
1.18637275 -0.01301014
1.20240481 -0.01117084
1.21843687 -0.01186448
1.23446894 -0.01127400
1.25050100 -0.01222292
1.26653307 -0.01154468
1.28256513 -0.01231700
1.29859719 -0.01239489
1.31462926 -0.01160273
1.33066132 -0.01207705
1.34669339 -0.01213381
1.36272545 -0.01181294
1.37875752 -0.01201446
1.39478958 -0.01170279
1.41082164 -0.01237825
1.42685371 -0.01180664
1.44288577 -0.01239870
1.45891784 -0.01228872
1.47494990 -0.01250124
1.49098196 -0.01343349
1.50701403 -0.01204685
1.52304609 -0.01250996
1.53907816 -0.01363090
1.55511022 -0.01273044
1.57114228 -0.01321260
1.58717435 -0.01366095
1.60320641 -0.01254736
1.61923848 -0.01434014
1.63527054 -0.01346965
1.65130261 -0.01341048
1.66733467 -0.01555578
1.68336673 -0.01334727
1.69939880 -0.01375812
1.71543086 -0.01423702
1.73146293 -0.01318167
1.74749499 -0.01316241
1.76352705 -0.01688113
1.77955912 -0.01407386
1.79559118 -0.01392923
1.81162325 -0.01385281
1.82765531 -0.01329867
1.84368737 -0.01364643
1.85971944 -0.01384400
1.87575150 -0.01375796
1.89178357 -0.01390439
1.90781563 -0.01395178
1.92384770 -0.01382574
1.93987976 -0.01410625
1.95591182 -0.01411237
1.97194389 -0.01588616
1.98797595 -0.01423185
2.00400802 -0.01469082
2.02004008 -0.01412638
2.03607214 -0.01410586
2.05210421 -0.01435052
2.06813627 -0.01440861
2.08416834 -0.01413217
2.10020040 -0.01518519
2.11623246 -0.01493251
2.13226453 -0.01476760
2.14829659 -0.01465682
2.16432866 -0.01558459
2.18036072 -0.01469283
2.19639279 -0.01474871
2.21242485 -0.01626483
2.22845691 -0.01526166
2.24448898 -0.01596220
2.26052104 -0.01539431
2.27655311 -0.01543856
2.29258517 -0.01711095
2.30861723 -0.01814936
2.32464930 -0.01594774
2.34068136 -0.01614698
2.35671343 -0.01586203
2.37274549 -0.01743690
2.38877756 -0.01652923
2.40480962 -0.01657220
2.42084168 -0.01632701
2.43687375 -0.01643538
2.45290581 -0.01717002
2.46893788 -0.01785866
2.48496994 -0.01667303
2.50100200 -0.01696386
2.51703407 -0.01721340
2.53306613 -0.01745135
2.54909820 -0.01799148
2.56513026 -0.01834765
2.58116232 -0.01915464
2.59719439 -0.01905733
2.61322645 -0.01949508
2.62925852 -0.02004417
2.64529058 -0.02119879
2.66132265 -0.02436556
2.67735471 -0.02361686
2.69338677 -0.02266416
2.70941884 -0.02064775
2.72545090 -0.02013808
2.74148297 -0.01928028
2.75751503 -0.01994475
2.77354709 -0.01966556
2.78957916 -0.01834974
2.80561122 -0.01971654
2.82164329 -0.01750110
2.83767535 -0.01807687
2.85370741 -0.01739248
2.86973948 -0.01728632
2.88577154 -0.01787727
2.90180361 -0.01689040
2.91783567 -0.01662164
2.93386774 -0.01653100
2.94989980 -0.01809707
2.96593186 -0.01642213
2.98196393 -0.01656673
2.99799599 -0.01626417
3.01402806 -0.01597756
3.03006012 -0.01704074
3.04609218 -0.01829461
3.06212425 -0.01614501
3.07815631 -0.01703316
3.09418838 -0.01566477
3.11022044 -0.01567834
3.12625251 -0.01626141
3.14228457 -0.01560543
3.15831663 -0.01633425
3.17434870 -0.01541216
3.19038076 -0.01699585
3.20641283 -0.01615335
3.22244489 -0.01518178
3.23847695 -0.01523878
3.25450902 -0.01597415
3.27054108 -0.01497381
3.28657315 -0.01570787
3.30260521 -0.01499708
3.31863727 -0.01512677
3.33466934 -0.01501259
3.35070140 -0.01501734
3.36673347 -0.01533391
3.38276553 -0.01493681
3.39879760 -0.01590646
3.41482966 -0.01488266
3.43086172 -0.01474906
3.44689379 -0.01495936
3.46292585 -0.01453506
3.47895792 -0.01645691
3.49498998 -0.01484757
3.51102204 -0.01460775
3.52705411 -0.01486243
3.54308617 -0.01482940
3.55911824 -0.01491220
3.57515030 -0.01521441
3.59118236 -0.01523039
3.60721443 -0.01660676
3.62324649 -0.01476104
3.63927856 -0.01468329
3.65531062 -0.01437178
3.67134269 -0.01508195
3.68737475 -0.01493277
3.70340681 -0.01435468
3.71943888 -0.01440110
3.73547094 -0.01431291
3.75150301 -0.01578387
3.76753507 -0.01453377
3.78356713 -0.01436120
3.79959920 -0.01484218
3.81563126 -0.01477027
3.83166333 -0.01411861
3.84769539 -0.01495973
3.86372745 -0.01423781
3.87975952 -0.01581064
3.89579158 -0.01431611
3.91182365 -0.01440227
3.92785571 -0.01424583
3.94388778 -0.01386456
3.95991984 -0.01392848
3.97595190 -0.01484887
